opt_vel,objective_value,jump_d,jump_c,jump_b,jump_a,height
2.83986458,14.76674817,1.451867018,1.400352486,-0.709633263,3.221311156,0.3
2.846227356,14.88254938,1.130429112,1.347681497,-1.2517075,3.132460908,0.3
2.843909795,15.97382167,1.096412581,1.438296968,-1.495073896,3.337499154,0.3
2.852620771,16.53181337,1.182079027,1.394281534,-0.966103438,2.980362124,0.3
2.677153303,16.76967055,3.38627323,0.956626833,-3.30342098,4.337620158,0.3
2.921300373,16.84958669,2.168208551,1.808161553,-0.483006413,3.782631443,0.3
2.951835124,17.06696434,2.737344639,1.772742323,0.246726326,4.300606316,0.3
2.966651773,17.29693406,1.705950116,1.920769642,-0.526703591,4.092355783,0.3
2.964250548,18.15863385,1.949754916,2.085557342,-0.656815978,4.072081753,0.3
2.809594013,19.47669777,1.604994244,1.277955977,-1.153523668,3.079579729,0.3
2.853157475,20.3651401,0.974844803,1.448672744,-1.470545463,3.513041081,0.3
2.731960732,20.71709081,1.852433158,1.092737422,-1.293567648,3.128324548,0.3
2.907675428,20.76336643,2.841426138,1.774195578,-0.588163085,4.515553049,0.3
2.91392124,21.48058603,1.593572466,1.802629125,-0.329737376,3.677122562,0.3
2.950800937,21.80844332,1.871819743,1.839718655,-0.555267152,3.895430126,0.3
2.846709885,21.93205621,2.017564539,1.262276567,-1.206141444,3.229794798,0.3
2.96816534,22.05323415,1.627663939,1.814403139,-0.377448177,3.854168234,0.3
2.912017653,22.55334871,2.346611405,1.557626886,-0.432681263,3.82679523,0.3
2.928320354,23.64033294,1.65772005,1.881947258,-0.486308959,4.021525393,0.3
2.849065729,23.91077574,1.159050767,1.264758867,-0.825761221,3.098724165,0.3
2.879505765,23.9257573,1.448451603,1.551328542,-0.203431362,3.421187416,0.3
2.782992491,24.0925132,1.586960795,1.281580529,-1.011756854,3.114550466,0.3
2.793593651,24.5234795,1.245958772,1.299514217,-0.48445438,3.020020307,0.3
2.939142791,24.75246739,2.517697526,1.996999375,0.344425988,4.548411909,0.3
2.901642777,25.93009561,1.288649092,1.556239297,-1.100917835,3.338520278,0.3
2.849410427,26.2324539,0.823207916,1.590886823,-1.278504856,3.285035391,0.3
2.928244247,26.42102556,2.573137744,1.87103642,-0.245493389,4.647640915,0.3
2.982805114,26.4679291,2.141045988,1.819472796,0.455648507,3.900163691,0.3
2.867699896,27.40119977,1.11810392,1.368221948,-1.358054589,3.26556312,0.3
2.838794848,28.04325104,2.242597752,1.342056279,-1.832426881,3.234531199,0.3
2.893064216,28.05753633,1.738755139,1.706788383,-0.644988122,3.918801886,0.3
2.857857315,28.19342066,1.573216473,1.347356575,-1.438828916,3.037259836,0.3
2.812974123,28.29625989,1.90705397,1.473653632,-1.821776218,3.488551078,0.3
2.838316968,29.09857183,2.041205234,1.155715034,-1.356582054,3.279810828,0.3
2.999251218,29.65683222,2.537826644,1.851840054,-0.067158818,4.10325628,0.3
2.777298896,29.66676149,1.640876353,1.212298545,-1.187003701,3.02949063,0.3
2.874462534,29.75000781,2.155882326,1.311824782,-1.33923641,3.184238103,0.3
2.940447397,30.22015771,2.376469214,1.622501426,-0.598425598,3.892323593,0.3
2.817296413,30.9742538,1.888459059,1.421796437,-1.241827486,3.192272989,0.3
2.918267294,31.19880504,2.399646404,1.83797921,-0.296697684,4.71514202,0.3
2.868501347,31.59138055,2.755949513,1.56748144,-0.482127534,4.221553297,0.3
2.965919485,32.06205432,2.037770207,1.792974595,-0.552916401,3.712094634,0.3
2.932271357,32.21879348,2.093597493,1.656481781,-0.247653115,3.800181996,0.3
2.896148985,32.45308807,2.601417136,2.046816612,0.025099454,4.598548966,0.3
2.955121036,32.45370066,2.252644745,1.573402394,-0.396436307,4.060258413,0.3
2.874740311,32.53442572,1.780935045,1.719899558,-0.67373533,3.97810192,0.3
2.879603277,33.59015909,1.659791785,1.310928161,-1.03112067,2.998869714,0.3
2.781904131,33.67588255,2.098240063,1.360694416,-1.670247737,3.155358717,0.3
2.922622591,34.29244947,2.025662127,2.057844083,1.181704667,4.401000111,0.3
2.812463208,34.5232867,2.189338704,1.469142676,-1.963384126,3.560737563,0.3
2.897948085,34.65628536,1.344832931,1.403010831,-0.014847208,3.259617391,0.3
2.995873816,35.86023865,2.879188499,1.975053312,-0.24529953,4.482953358,0.3
2.885811932,37.10083007,3.025643717,1.948046521,-0.285597763,4.952205308,0.3
3.008174366,37.12146659,2.463367072,1.971483286,0.228486952,4.347923494,0.3
3.006001229,37.56549682,3.065416868,1.969712866,-0.195793146,4.645153129,0.3
2.941744915,38.24693769,1.328308538,1.482745493,-1.4127717,3.39915261,0.3
2.861668792,38.26666202,2.038397674,1.845260107,-0.84960096,4.053514436,0.3
2.942702163,38.34548934,2.514145908,1.496425439,-0.812234518,3.920278446,0.3
2.875499005,38.77224725,2.679445024,1.749488351,-0.072211583,4.749355121,0.3
2.708141244,38.79613239,1.840362567,1.14211356,-1.277858187,3.164875292,0.3
2.872673167,38.82765817,2.48205689,1.899885464,0.849620289,4.129257257,0.3
2.89764818,39.2766123,1.543844373,2.032434125,-0.68327977,4.326073641,0.3
2.820379036,40.66152766,2.092300084,1.613215082,-2.160795613,3.784554669,0.3
2.925785814,41.18022309,1.300947563,1.548430905,-0.999443417,3.065424684,0.3
2.920062299,41.52495593,1.747797149,1.40176349,-0.712055743,3.365832792,0.3
2.794125065,41.71958708,1.14532405,1.610634383,-1.175478148,3.148348629,0.3
2.876652329,41.95083199,2.407144136,2.063207604,0.504415644,4.281308812,0.3
2.752276387,42.56211787,1.971876593,1.388584912,-1.718460219,3.467455516,0.3
2.98696475,42.65953757,1.756407418,1.698193381,-0.23089039,3.560244656,0.3
2.965661978,43.20133963,2.773902658,1.500267313,-0.182201285,4.168821624,0.3
2.800696337,43.70839458,0.931407985,1.653111143,-1.530891899,3.556118207,0.3
3.022897984,43.74214239,2.544628948,1.857443256,-0.557489301,4.117467985,0.3
2.805322693,44.1858309,2.271581464,1.565273621,-0.890745889,3.853953751,0.3
2.951481706,44.29494785,1.143216379,1.572697872,-1.675603534,3.441404763,0.3
2.956368581,44.31513082,1.656866243,1.598468644,-0.456328521,3.449710947,0.3
2.852509292,45.49918006,1.061086417,1.182694333,-1.202624457,3.027549354,0.3
3.031114809,45.61361238,1.93127963,2.095287035,-0.43845658,3.985758137,0.3
2.467209095,45.94035015,3.345070579,0.800882026,-3.02725697,4.207623866,0.3
2.986261896,46.03269606,1.340444629,1.627148216,-0.418707895,3.62522326,0.3
2.813196095,46.51355342,2.241125188,1.629699972,-0.473509395,3.703131638,0.3
2.955409091,47.64102239,1.251897709,1.552587228,0.07736213,3.362145587,0.3
2.857443323,47.90548147,1.918330066,1.157113685,-1.422964236,3.347787084,0.3
3.019252824,48.33011609,2.747530295,1.864448128,-0.093697035,4.372295021,0.3
3.006163912,48.48440336,2.237915403,1.663164571,-0.315082154,4.078495108,0.3
2.825375175,48.75884458,0.827286647,1.71624711,-1.513212911,3.669791203,0.3
2.715905495,48.85490292,2.504728524,1.238643167,-2.141882554,3.496413801,0.3
2.704436961,51.18621772,3.020908657,1.358762067,-2.437651223,3.092080814,0.3
2.816683326,51.29114045,1.895834437,1.027574934,-1.455115706,2.992916363,0.3
2.794590656,51.4138962,1.320707902,1.641363644,-1.589825475,3.647916591,0.3
2.847592503,52.03295636,3.088333377,1.846134798,-0.116914189,4.883946854,0.3
2.963539963,53.55173909,0.989904086,1.519192218,-1.299578895,3.462685071,0.3
2.668191884,53.97688427,2.212295689,1.202487767,-2.414091968,3.298943598,0.3
2.815142428,54.34182351,1.568134512,1.871023131,-0.092363528,3.575840288,0.3
2.898396749,54.72038937,1.766924888,1.111929854,-1.147450558,3.271129022,0.3
2.77974586,55.25528076,1.748918713,1.630551058,-0.507211906,3.888596545,0.3
2.831743455,55.9672935,1.228733094,0.971258601,-1.060680645,2.901687203,0.3
2.858577162,57.28974944,1.651062219,2.271944424,0.861150117,3.770202574,0.3
2.831915465,58.51618265,2.528533629,1.978778056,0.597570591,4.229081516,0.3
2.963169046,59.67270314,2.161697502,1.502562987,-2.041629173,3.561786601,0.3
3.059889543,60.51410755,2.807166626,1.986280487,-0.005068606,4.217354882,0.3
2.709613288,61.1333072,1.184636097,1.383286454,-1.573665162,3.123677769,0.3
2.799969207,61.94939387,2.222344482,1.762778755,-0.303225284,3.827998206,0.3
2.706322248,62.36757412,1.954534908,1.423915554,-2.069329952,3.974318383,0.3
2.686726315,62.38291467,1.134809597,1.338319702,-1.509473439,3.421372452,0.3
2.61534093,63.13289755,3.217482621,1.172580204,-2.731210647,3.261607668,0.3
2.902580873,64.11026586,2.010253584,1.199764206,-1.098480872,3.013402975,0.3
2.812865915,64.31271398,1.595048719,1.796761696,-0.200347651,3.946319976,0.3
3.080066585,64.33458162,1.66122957,1.945015319,0.154216671,3.97416944,0.3
2.736041199,64.37030952,1.278751005,1.533136386,-1.265304538,3.254598298,0.3
3.000543907,64.53024495,1.001653466,1.457637368,-1.42113555,3.48043095,0.3
2.773971208,64.64220924,1.494668665,1.656572203,-0.85931991,3.700835232,0.3
2.754812304,65.78062172,1.850127953,1.696222697,-0.847727707,3.647419521,0.3
2.616181925,66.87164864,1.308095822,1.006004043,-0.75529319,2.982822627,0.3
2.700785789,66.96999607,1.168277191,1.306087056,-0.537816336,3.186877421,0.3
3.113207984,67.22407333,2.802122874,2.034722383,-0.340853421,4.783330524,0.3
2.640577898,67.68728251,2.184158416,1.163648518,-1.553957532,3.176559501,0.3
2.904194792,67.99544414,1.687502725,1.128148514,-0.807459145,2.970959991,0.3
2.755945008,68.78687085,0.916347417,1.678628295,-1.076620491,3.231830105,0.3
2.834223608,69.28611102,2.477474868,0.948983226,-1.931785008,3.238032589,0.3
3.079734477,72.19891307,1.289496902,2.000415408,-0.539058683,3.898885097,0.3
2.770266646,72.53250045,2.319824765,1.780839678,0.807208969,4.598024186,0.3
2.681591006,74.15156915,0.578372049,1.473276757,-1.438269519,3.432824373,0.3
3.078742234,75.21289139,1.942650904,1.625903814,-0.257697392,3.762811842,0.3
3.105228691,75.61219907,1.180494699,1.910265033,-0.821802371,3.390369746,0.3
3.102010622,75.84796466,1.311323094,1.879618107,-0.525333914,3.392301722,0.3
2.673161126,76.79560446,1.696993574,1.36350447,-0.910500228,3.46489605,0.3
2.692049408,77.15814194,0.039616229,1.541861314,-1.669982427,3.055297801,0.3
2.740272831,78.05136966,2.963366283,1.579283081,0.073172601,4.43854106,0.3
2.76016066,79.21730416,1.371295417,2.032120688,-0.078459365,3.753268737,0.3
3.075892086,80.71762841,2.803461951,1.716985848,0.4170413,4.084258732,0.3
3.075940095,80.8485681,2.899345536,1.731159121,0.050203988,4.98722969,0.3
2.796396803,82.37653175,1.527037831,2.066158304,-0.464188028,3.655287707,0.3
2.689661784,82.72134127,3.457976877,1.560859168,-2.598960681,3.176567734,0.3
3.097847849,83.48461441,0.512733568,1.855295109,-0.460519703,3.587332926,0.3
3.029554058,83.54830557,1.349131465,1.585438077,-1.605932597,3.212132696,0.3
2.690449698,88.21919499,0.32203494,1.636901918,-0.211376728,3.044547776,0.3
2.613035713,88.31261231,2.369879965,1.315562371,-2.355413398,3.011491291,0.3
3.135483437,89.81858934,1.591616128,1.860433132,-0.295785338,4.060594307,0.3
2.710535397,91.14664499,0.012347788,1.801192721,-1.589915268,3.21397396,0.3
2.66962346,91.20347712,1.627217041,1.622949088,-0.128154715,3.213771028,0.3
2.671308173,94.65902482,1.233539238,1.633710209,0.393920184,3.407866782,0.3
3.052589372,94.97762278,1.027124093,1.558153448,-1.150862404,2.988322006,0.3
2.771021681,96.59608368,0.054624698,2.482907021,-0.919738489,4.835239524,0.3
2.705324527,96.74796653,1.307010264,1.835125039,-0.68043418,3.795372182,0.3
2.65047087,98.06540822,1.621894779,1.616385377,-0.681359322,3.929187266,0.3
2.810250459,100.2308072,1.942530985,0.821296791,-1.714003839,2.964785467,0.3
3.171165615,100.6722773,0.751360113,2.133919915,0.601035098,4.36513657,0.3
2.726582013,103.2076044,2.474370836,2.033190306,-0.202931692,4.180778388,0.3
2.526495253,104.4886725,3.228309387,1.217694516,-3.290264124,4.543145721,0.3
2.66250616,104.9138017,1.958658434,1.72043321,-1.125108914,4.36635482,0.3
3.013297219,106.8346007,1.94958661,1.211290147,-1.443338016,2.712433925,0.3
3.218804762,109.9475861,1.396846716,2.152120063,-0.064947796,3.815902732,0.3
3.075785957,110.0111086,1.603796619,1.356620393,-0.775918206,3.430513837,0.3
2.62914206,110.0842642,0.904126296,1.689449749,-1.668105614,3.377459865,0.3
2.557046964,110.3422581,1.233428155,1.346935284,-0.755111374,2.744669897,0.3
2.32639761,112.1083254,3.140436971,0.775305223,-2.957768748,4.866349539,0.3
2.517933911,115.2615262,2.031363624,1.252414306,-1.117464679,3.10925488,0.3
2.5927971,119.4937467,0.330376153,1.475781941,-1.387724435,3.829808759,0.3
3.236156458,139.2495849,2.080514726,1.712955263,-0.12506388,3.539404314,0.3
2.521249088,146.1740623,0.8227676,1.650594124,-1.570794428,3.013895815,0.3
2.807718029,148.3407819,2.11681237,0.721398936,-1.248937486,2.986247296,0.3
2.455754347,154.8409978,3.180657332,1.460786285,-3.025583678,4.020902383,0.3
3.250780151,157.3617576,0.456672755,1.659256918,-1.084642622,3.304016596,0.3
2.505980136,166.8516664,0.098672367,1.971576015,-2.190118777,4.321172057,0.3
2.552954006,173.8047453,2.849248944,2.409021648,-0.13494376,4.819181528,0.3
2.381909132,181.5087671,1.488873618,1.489152856,-1.865333502,2.790263616,0.3
2.421084083,183.2168788,1.794801659,1.780551848,-0.858645662,3.900991996,0.3
3.340932628,193.9619444,1.0856001,1.699799858,-0.376039795,4.171524848,0.3
2.310525967,197.490541,3.197888606,1.406429612,-3.22244658,4.678856459,0.3
2.005821541,202.9999904,3.297240309,0.74428911,-2.863706252,4.030400436,0.3
2.169478122,208.1945325,3.226256825,1.141635495,-2.9075898,2.874603819,0.3
2.22061031,208.2281318,3.469917644,1.138407208,-3.097497714,4.845399833,0.3
2.154417734,208.9850116,3.110423239,1.048466366,-3.447431652,4.090154578,0.3
2.372932941,216.169458,0.862997083,2.34265005,0.528935886,2.945688529,0.3
3.550348231,254.091179,2.476090335,2.083925751,0.853472191,4.792347064,0.3
2.123738875,265.570666,2.589487138,1.415484209,0.898607917,3.662858241,0.3
2.167322209,268.4990516,1.084990661,1.858765341,-0.628336671,4.13332317,0.3
2.046894618,308.5669008,0.059874438,2.317302405,1.58286012,4.686339295,0.3
3.069427741,525.7063682,3.458999757,0.880435463,-4.16460998,4.769596856,0.3
2.597608761,526.8603466,1.064237938,0.636512262,-2.636541638,3.257857794,0.3
2.758964442,568.3948306,3.338992298,0.618159441,-2.935962108,3.872192507,0.3
3.977585163,624.1464548,2.527109103,0.641303793,3.982576497,2.967038833,0.3
4.428602294,663.5763836,3.036739617,3.23940199,2.27740392,-1.651126279,0.3
4.536175711,715.0744306,1.648591918,2.914115092,-0.114420671,-1.417895968,0.3
4.61204767,722.9274735,3.237291448,3.470216274,-0.568374826,-2.371886166,0.3
4.967786786,1016.971488,1.418940008,2.438640143,2.694543126,2.10304893,0.3
3.96107452,1166.677047,2.812958058,4.494998043,0.018032396,1.546561678,0.3
5.466969146,1462.604023,2.956578574,3.104141284,-4.911157853,-0.162502808,0.3
2.575888527,1788.825161,2.61798363,-1.093673783,0.763101778,2.874384405,0.3
2.730672341,2085.350421,0.621083222,-1.23927438,2.243518482,-0.942466249,0.3
2.771908918,2201.407648,1.308654121,-1.229636304,3.170918409,-4.380588387,0.3
5.020210252,2737.192004,1.754772516,4.952176292,-3.782652391,2.023329459,0.3
5.731752424,3000.61448,0.083588083,4.861388588,4.651599008,-4.456612591,0.3
4.119052274,4325.604685,0.031341322,-2.808658314,0.925093209,2.701589278,0.3
2.447787477,4331.234781,3.09869923,-2.560848814,1.579764461,-3.920334409,0.3
4.661372641,5489.334523,1.728985576,-3.245705458,0.821859562,-1.869080446,0.3
2.58728667,7196.125644,1.138959556,-3.832753891,0.313612253,-0.30742837,0.3
3.832390671,8674.141036,1.438878684,-4.141532805,-2.231328658,-3.639594201,0.3
2.341135921,10509.82886,0.917257185,-4.574487391,-1.516686172,-4.737755816,0.3
2.394514031,11327.17456,3.081447422,-4.937488584,1.919204115,1.798332605,0.3
